isolate,otu,mode,ehb,species,replicate,total.count,germ.total.count,germ.total.prop,col.total.count,col.total.prop,col.1.count,col.1.prop,col.2.count,col.2.prop,col.3.count,col.3.prop,col.4.count,col.4.prop,col.combined.total,col.combined.prop,ungerm.total.count,germ.2wk.count,germ.2wk.prop,germ.3wk.count,germ.3wk.prop,germ.4wk.count,germ.4wk.prop,germ.5wk.count,germ.5wk.prop,germ.6wk.count,germ.6wk.prop,germ.7wk.count,germ.7wk.prop,viable.7wk.count,viable.7wk.total,viable.7wk.prop
PS0772,5,seed,1,Trema_micrantha_brown,3,20,0,0,20,1,0,0,19,0.95,1,0.05,0,0,41,0.51,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
PS0772,5,seed,1,Trema_micrantha_brown,4,20,0,0,20,1,0,0,18,0.9,2,0.1,0,0,42,0.53,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
PS0772,5,seed,1,Trema_micrantha_brown,5,20,0,0,20,1,0,0,12,0.6,8,0.4,0,0,48,0.6,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
PS0772,5,seed,0,Trema_micrantha_brown,1,21,0,0,21,1,0,0,15,0.71,6,0.29,0,0,48,0.6,21,0,0,0,0,0,0,0,0,0,0,0,0,21,21,1
PS0772,5,seed,0,Trema_micrantha_brown,2,20,0,0,20,1,0,0,14,0.7,6,0.3,0,0,46,0.58,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
PS0772,5,seed,0,Trema_micrantha_brown,3,20,0,0,20,1,0,0,11,0.55,4,0.2,5,0.25,54,0.68,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
PS0772,5,seed,0,Trema_micrantha_brown,4,20,0,0,20,1,0,0,17,0.85,2,0.1,1,0.05,44,0.55,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
PS0772,5,seed,0,Trema_micrantha_brown,5,20,0,0,20,1,0,0,12,0.6,7,0.35,1,0.05,49,0.61,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
control,NA,NA,NA,Apeiba_tibourbou,1,20,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0.05,18,18,1
control,NA,NA,NA,Apeiba_tibourbou,2,20,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0.16,3,0.16,3,0.16,3,0.16,3,0.16,7,0.37,12,12,1
